x	y	z	txPowerDbm	bandwidthNrRb	subBandOffset	subBandwidthNrRb	schedulerChoice
1935.77	1961.07	10	30	100	52	16	0
1986.85	1967.23	10	30	100	84	16	0
2056.27	1942.86	10	30	100	68	16	0
2118.1	1921.32	10	30	100	52	16	0
1917.23	1919.2	10	30	100	84	16	0
1975.59	1921.62	10	30	100	68	16	0
2030.22	1895.9	10	30	100	52	16	0
2092.26	1877.96	10	30	100	68	16	0
1896.64	1836.25	10	30	100	52	16	0
1974.76	1858.69	10	30	100	84	16	0
2010.59	1845.59	10	30	100	68	16	0
2053.39	1833.55	10	30	100	84	16	0
2050.12	1762.37	10	30	100	84	16	0
2119.19	1770.73	10	30	100	52	16	0
1873.64	1754.96	10	30	100	52	16	0
1972.51	1736.29	10	30	100	68	16	0
2023.86	1729.99	10	30	100	52	16	0
2094.84	1711.88	10	30	100	68	16	0
1960.48	1676.58	10	30	100	52	16	0
2008.71	1661.32	10	30	100	68	16	0
2068.01	1677	10	30	100	84	16	0
2000	1950	25	46	100	0	52	0
1850	1700	25	46	100	0	52	0
2150	1700	25	46	100	0	52	0